Timestamp,px_raw,py_raw,pz_raw,r_raw,p_raw,y_raw,px_est,py_est,pz_est,r_est,p_est,y_est
1763276024.857518911362,-0.029981000000,9.999002000000,0.169757000000,0.016693285815,0.012582449244,0.004565271875,-0.029981000000,9.999002000000,0.169757000000,0.016693285815,0.012582449244,0.004565271875
1763276024.873703002930,-0.029981000000,9.999002000000,0.169757000000,0.016693285815,0.012582449244,0.004565271875,-0.029981000000,9.999002000000,0.169757000000,0.016693285815,0.012582449244,0.004565271875
1763276024.893475055695,-0.029981000000,9.999002000000,0.169757000000,0.016693285815,0.012582449244,0.004565271875,-0.029981000000,9.999002000000,0.169757000000,0.016693285815,0.012582449244,0.004565271875
1763276024.913655996323,-0.029981000000,9.999002000000,0.169757000000,0.016693285815,0.012582449244,0.004565271875,-0.029981000000,9.999002000000,0.169757000000,0.016693285815,0.012582449244,0.004565271875
1763276024.933609962463,-0.028498000000,9.998319000000,0.169410000000,0.016721084001,0.012729566780,0.003226602193,-0.029412810207,9.998740318524,0.169624052018,0.016700217329,0.012619032364,0.004232358520
1763276024.963620901108,-0.028498000000,9.998319000000,0.169410000000,0.016721084001,0.012729566780,0.003226602193,-0.028979279760,9.998540654805,0.169522612324,0.016704408774,0.012641186320,0.004030763554
1763276024.973344087601,-0.028498000000,9.998319000000,0.169410000000,0.016721084001,0.012729566780,0.003226602193,-0.028769267869,9.998443933213,0.169473472657,0.016707221163,0.012656064976,0.003895376172
1763276024.993104934692,-0.028498000000,9.998319000000,0.169410000000,0.016721084001,0.012729566780,0.003226602193,-0.028587223515,9.998360092151,0.169430876979,0.016709242107,0.012666763388,0.003798028805
1763276025.013643026352,-0.028498000000,9.998319000000,0.169410000000,0.016721084001,0.012729566780,0.003226602193,-0.028464687904,9.998303658017,0.169402205464,0.016710766825,0.012674838681,0.003724551010
1763276025.033613920212,-0.026766000000,10.004110000000,0.164759000000,0.016258584824,0.011828105285,0.003736342636,-0.027757186451,10.000387988375,0.167683547905,0.016658538548,0.012577037852,0.003725893430
1763276025.067759037018,-0.026766000000,10.004110000000,0.164759000000,0.016258584824,0.011828105285,0.003736342636,-0.027158208276,10.002046908314,0.166296624782,0.016616484363,0.012498288812,0.003726978055
1763276025.073326110840,-0.026766000000,10.004110000000,0.164759000000,0.016258584824,0.011828105285,0.003736342636,-0.026982007616,10.002813960762,0.165708815756,0.016581847535,0.012433429324,0.003727873865
1763276025.093399047852,-0.026766000000,10.004110000000,0.164759000000,0.016258584824,0.011828105285,0.003736342636,-0.026750886007,10.003512304690,0.165136132316,0.016552786831,0.012379011522,0.003728627191
1763276025.113255977631,-0.026766000000,10.004110000000,0.164759000000,0.016258584824,0.011828105285,0.003736342636,-0.026600290162,10.003986243391,0.164750795653,0.016528025726,0.012332645009,0.003729270308
1763276025.133414030075,-0.017516000000,10.003530000000,0.168657000000,0.017001310483,0.012357747916,0.004329287322,-0.023386192504,10.004112323006,0.165804617880,0.016565570209,0.012334646758,0.003776868405
1763276025.163245916367,-0.017516000000,10.003530000000,0.168657000000,0.017001310483,0.012357747916,0.004329287322,-0.020876582574,10.004290828387,0.166536055284,0.016598342560,0.012336392608,0.003818416456
1763276025.173474073410,-0.017516000000,10.003530000000,0.168657000000,0.017001310483,0.012357747916,0.004329287322,-0.019573580891,10.004168590331,0.167161182148,0.016627225899,0.012337930150,0.003855034077
1763276025.193381071091,-0.017516000000,10.003530000000,0.168657000000,0.017001310483,0.012357747916,0.004329287322,-0.018451804958,10.004191807789,0.167552715232,0.016652895868,0.012339295745,0.003887577840
1763276025.213234901428,-0.017516000000,10.003530000000,0.168657000000,0.017001310483,0.012357747916,0.004329287322,-0.017674969262,10.004194523638,0.167839109007,0.016675878139,0.012340517649,0.003916714187
1763276025.233484029770,-0.024073000000,10.000019000000,0.169428000000,0.016614481839,0.012099633999,0.003958725529,-0.019238468521,10.003061645624,0.168295137348,0.016671971291,0.012325188193,0.003919387272
1763276025.257128953934,-0.024073000000,10.000019000000,0.169428000000,0.016614481839,0.012099633999,0.003958725529,-0.020348558090,10.002245466030,0.168626044723,0.016668430474,0.012311295091,0.003921809945
1763276025.273350000381,-0.024073000000,10.000019000000,0.169428000000,0.016614481839,0.012099633999,0.003958725529,-0.021268727214,10.001623765770,0.168867311263,0.016665204960,0.012298639268,0.003924016906
1763276025.293049097061,-0.024073000000,10.000019000000,0.169428000000,0.016614481839,0.012099633999,0.003958725529,-0.021888682315,10.001189775374,0.169038971336,0.016662253239,0.012287057812,0.003926036551
1763276025.313493013382,-0.024073000000,10.000019000000,0.169428000000,0.016614481839,0.012099633999,0.003958725529,-0.022341603662,10.000874592989,0.169163249973,0.016659541006,0.012276416106,0.003927892348
1763276025.333311080933,-0.027020000000,9.999834000000,0.172440000000,0.016611613175,0.012382243296,0.003405026816,-0.023606775441,10.000585741575,0.170193732575,0.016656881721,0.012282291811,0.003898865362
1763276025.357162952423,-0.027020000000,9.999834000000,0.172440000000,0.016611613175,0.012382243296,0.003405026816,-0.024515919960,10.000377104529,0.170954981152,0.016654420955,0.012287728484,0.003872006912
1763276025.373109102249,-0.027020000000,9.999834000000,0.172440000000,0.016611613175,0.012382243296,0.003405026816,-0.025209447839,10.000221394148,0.171468887158,0.016652137097,0.012292773959,0.003847080773
1763276025.393313884735,-0.027020000000,9.999834000000,0.172440000000,0.016611613175,0.012382243296,0.003405026816,-0.025694994928,10.000111092098,0.171853639087,0.016650011718,0.012297469021,0.003823885511
