Quat_X	Quat_Y	Quat_Z	Quat_W	Roll(deg)	Pitch(deg)	Yaw(deg)
0.008206	0.005865	0.001566	0.999948	0.941449	0.670587	0.184969
0.007849	0.005903	0.001506	0.999951	0.900503	0.675061	0.177888
0.007849	0.005903	0.001506	0.999951	0.900503	0.675061	0.177888
0.007849	0.005903	0.001506	0.999951	0.900503	0.675061	0.177888
0.007849	0.005903	0.001506	0.999951	0.900503	0.675061	0.177888
0.007849	0.005903	0.001506	0.999951	0.900503	0.675061	0.177888
0.007819	0.005781	0.001389	0.999952	0.896964	0.661192	0.164351
0.007819	0.005781	0.001389	0.999952	0.896964	0.661192	0.164351
0.007819	0.005781	0.001389	0.999952	0.896964	0.661192	0.164351
0.007819	0.005781	0.001389	0.999952	0.896964	0.661192	0.164351
0.007819	0.005781	0.001389	0.999952	0.896964	0.661192	0.164351
0.007763	0.005717	0.001428	0.999953	0.890561	0.653832	0.168726
0.007763	0.005717	0.001428	0.999953	0.890561	0.653832	0.168726
0.007763	0.005717	0.001428	0.999953	0.890561	0.653832	0.168726
0.007763	0.005717	0.001428	0.999953	0.890561	0.653832	0.168726
0.007763	0.005717	0.001428	0.999953	0.890561	0.653832	0.168726
0.007877	0.005137	0.001141	0.999955	0.903354	0.587611	0.135387
0.007877	0.005137	0.001141	0.999955	0.903354	0.587611	0.135387
0.007877	0.005137	0.001141	0.999955	0.903354	0.587611	0.135387
0.007877	0.005137	0.001141	0.999955	0.903354	0.587611	0.135387
0.007877	0.005137	0.001141	0.999955	0.903354	0.587611	0.135387
0.008104	0.005538	0.001127	0.999951	0.929418	0.633544	0.134290
0.008104	0.005538	0.001127	0.999951	0.929418	0.633544	0.134290
0.008104	0.005538	0.001127	0.999951	0.929418	0.633544	0.134290
0.008104	0.005538	0.001127	0.999951	0.929418	0.633544	0.134290
0.008104	0.005538	0.001127	0.999951	0.929418	0.633544	0.134290
0.007686	0.006205	0.000815	0.999951	0.881389	0.710306	0.098860
0.007686	0.006205	0.000815	0.999951	0.881389	0.710306	0.098860
0.007686	0.006205	0.000815	0.999951	0.881389	0.710306	0.098860
0.007686	0.006205	0.000815	0.999951	0.881389	0.710306	0.098860
0.007686	0.006205	0.000815	0.999951	0.881389	0.710306	0.098860
0.007721	0.008880	0.002810	0.999927	0.887731	1.015065	0.329889
0.007944	0.007195	0.000903	0.999942	0.911140	0.823645	0.110031
0.007944	0.007195	0.000903	0.999942	0.911140	0.823645	0.110031
0.007944	0.007195	0.000903	0.999942	0.911140	0.823645	0.110031
0.007944	0.007195	0.000903	0.999942	0.911140	0.823645	0.110031
0.007905	0.009501	0.002810	0.999920	0.909034	1.086166	0.330644
0.007521	0.007067	0.000382	0.999947	0.862225	0.809473	0.049867
0.007521	0.007067	0.000382	0.999947	0.862225	0.809473	0.049867
0.007521	0.007067	0.000382	0.999947	0.862225	0.809473	0.049867
0.007521	0.007067	0.000382	0.999947	0.862225	0.809473	0.049867
0.007885	0.006555	0.000358	0.999947	0.903891	0.750806	0.046948
0.007885	0.006555	0.000358	0.999947	0.903891	0.750806	0.046948
0.007885	0.006555	0.000358	0.999947	0.903891	0.750806	0.046948
0.007885	0.006555	0.000358	0.999947	0.903891	0.750806	0.046948
0.007885	0.006555	0.000358	0.999947	0.903891	0.750806	0.046948
0.007670	0.006522	-0.002643	0.999946	0.877004	0.749670	-0.297143
0.007670	0.006522	-0.002643	0.999946	0.877004	0.749670	-0.297143
0.007670	0.006522	-0.002643	0.999946	0.877004	0.749670	-0.297143
0.007751	0.009633	0.001289	0.999923	0.889754	1.102698	0.156282
0.008069	0.005949	-0.007531	0.999921	0.919539	0.688632	-0.857515
0.008069	0.005949	-0.007531	0.999921	0.919539	0.688632	-0.857515
0.008069	0.005949	-0.007531	0.999921	0.919539	0.688632	-0.857515
0.008704	0.009284	-0.001031	0.999918	0.996450	1.064871	-0.108893
0.007503	0.004543	-0.020271	0.999756	0.849086	0.537899	-2.319148
0.007503	0.004543	-0.020271	0.999756	0.849086	0.537899	-2.319148
0.007503	0.004543	-0.020271	0.999756	0.849086	0.537899	-2.319148
0.007503	0.004543	-0.020271	0.999756	0.849086	0.537899	-2.319148
0.007303	0.005005	-0.018229	0.999795	0.826307	0.588678	-2.084841
0.003589	0.006019	-0.038540	0.999232	0.384404	0.705066	-4.415198
0.003589	0.006019	-0.038540	0.999232	0.384404	0.705066	-4.415198
0.003589	0.006019	-0.038540	0.999232	0.384404	0.705066	-4.415198
0.003589	0.006019	-0.038540	0.999232	0.384404	0.705066	-4.415198
